country,code
Algeria,25
Argentina,8
Armenia,64
Australia,3
Austria,79
Bahrain,69
Belgium,m
Benin,48
Bolivia*,0
Bosnia-Herzegovina,46
Brazil,k
Bulgaria,51
Burkina Faso,47
Canada,4
Chile,13
China,22
Colombia,21
Costa Rica,39
Croatia,30
Cyprus,44
Czechia,34
Denmark,h
Dominican Republic,73
Ecuador,36
Egypt,11
Estonia,42
Finland,a
France,7
Gambia,19
Georgia,45
Germany,6
Ghana,16
Greece,23
Hungary,55
Iceland,49
India,20
Indonesia,p1
Iran,62
Ireland,n
Italy,d
Jamaica,29
Japan,9
Republic of Korea,27
Kyrgyzstan,63
Latvia,43
Lesotho,75
Lithuania,38
Luxembourg,74
North Macedonia,41
Malaysia,p2
Mali,68
Mauritius,61
Mexico,q
Moldova,65
Mongolia,0
Montenegro,b2
Morocco,t
Namibia,72
Nepal,71
Netherlands,j
New Zealand,g
Niger,67
Nigeria,e
Norway,r
Oman*,82
Panama,77
Peru,80
Philippines,p3
Poland,57
Portugal,18
Romania,26
Russian Federation,76
Saudi Arabia,32
Senegal,v
Serbia,b1
Seychelles,60
Singapore,p4
Slovakia,35
Slovenia,31
Spain,u
Sri Lanka,37
Sudan,66
Sweden,f
Switzerland,40
Tanzania,17
Thailand,p5
Tunisia,c
Türkiye,28
Ukraine,78
United Arab Emirates,81
United Kingdom,2
United States of America,1
Uruguay,14
Uzbekistan,70
Venezuela,24
Viet Nam,59
